,data,godzina,dom,-,wyjazd,wynik,pusta
0,15/07/2022,17:00,Raków Częstochowa,-,Warta Poznań,1:0 (0:0),
1,,19:30,Zagłębie Lubin,-,Śląsk Wrocław,0:0 (0:0),
2,16/07/2022,14:00,Lech Poznań,-,FKS Stal Mielec,0:2 (0:1),
3,,16:30,Jagiellonia Białystok,-,Piast Gliwice,2:0 (1:0),
4,,19:00,Korona Kielce,-,Legia Warszawa,1:1 (0:0),
5,17/07/2022,11:30,Radomiak Radom,-,Miedź Legnica,1:1 (0:0),
6,,14:00,Wisła Płock,-,Lechia Gdańsk,3:0 (1:0),
7,,16:30,Pogoń Szczecin,-,Widzew Łódź,2:1 (1:1),
8,18/07/2022,18:00,Górnik Zabrze,-,KS Cracovia,0:2 (0:2),
9,22/07/2022,17:00,Warta Poznań,-,Wisła Płock,0:4 (0:3),
10,,19:30,Jagiellonia Białystok,-,Widzew Łódź,0:2 (0:0),
11,23/07/2022,16:30,KS Cracovia,-,Korona Kielce,2:0 (1:0),
12,,19:00,Legia Warszawa,-,Zagłębie Lubin,2:0 (1:0),
13,24/07/2022,16:30,Śląsk Wrocław,-,Pogoń Szczecin,2:1 (1:1),
14,25/07/2022,18:00,FKS Stal Mielec,-,Radomiak Radom,1:1 (0:0),
15,06/10/2022,19:45,Piast Gliwice,-,Raków Częstochowa,0:1 (0:0),
16,18/11/2022,19:30,Lechia Gdańsk,-,Górnik Zabrze,2:1 (0:1),
17,01/02/2023,18:00,Miedź Legnica,-,Lech Poznań,2:2 (1:1),
18,29/07/2022,17:00,Piast Gliwice,-,Zagłębie Lubin,0:1 (0:0),
19,,19:30,KS Cracovia,-,Legia Warszawa,3:0 (1:0),
20,30/07/2022,16:30,Radomiak Radom,-,Górnik Zabrze,0:3 (0:2),
21,,19:00,Miedź Legnica,-,Warta Poznań,1:2 (1:1),
22,31/07/2022,14:00,Pogoń Szczecin,-,Jagiellonia Białystok,1:0 (1:0),
23,,16:30,Lech Poznań,-,Wisła Płock,1:3 (0:1),
24,,16:30,Raków Częstochowa,-,FKS Stal Mielec,3:2 (1:1),
25,,19:00,Widzew Łódź,-,Lechia Gdańsk,2:3 (1:2),
26,01/08/2022,18:00,Korona Kielce,-,Śląsk Wrocław,3:1 (2:0),
27,05/08/2022,17:00,FKS Stal Mielec,-,KS Cracovia,2:0 (1:0),
28,,19:30,Legia Warszawa,-,Piast Gliwice,2:0 (0:0),
29,06/08/2022,14:00,Lechia Gdańsk,-,Korona Kielce,0:1 (0:1),
30,,16:30,Jagiellonia Białystok,-,Radomiak Radom,1:2 (1:0),
31,,19:00,Śląsk Wrocław,-,Widzew Łódź,0:0 (0:0),
32,07/08/2022,14:00,Warta Poznań,-,Pogoń Szczecin,1:2 (0:2),
33,,16:30,Zagłębie Lubin,-,Lech Poznań,1:1 (0:0),
34,,19:00,Górnik Zabrze,-,Raków Częstochowa,1:0 (1:0),
35,08/08/2022,18:00,Wisła Płock,-,Miedź Legnica,4:1 (2:1),
36,12/08/2022,17:00,Miedź Legnica,-,Zagłębie Lubin,0:1 (0:0),
37,,19:30,Widzew Łódź,-,Legia Warszawa,1:2 (0:2),
38,13/08/2022,14:00,KS Cracovia,-,Piast Gliwice,0:1 (0:0),
39,,16:30,Górnik Zabrze,-,FKS Stal Mielec,1:3 (1:2),
40,,19:00,Pogoń Szczecin,-,Wisła Płock,2:2 (1:0),
41,14/08/2022,14:00,Radomiak Radom,-,Lechia Gdańsk,4:1 (2:1),
42,,16:30,Raków Częstochowa,-,Jagiellonia Białystok,2:2 (2:0),
43,,19:00,Lech Poznań,-,Śląsk Wrocław,0:1 (0:1),
44,15/08/2022,18:00,Korona Kielce,-,Warta Poznań,0:1 (0:1),
45,19/08/2022,17:00,Jagiellonia Białystok,-,Miedź Legnica,2:1 (0:1),
46,,19:30,Legia Warszawa,-,Górnik Zabrze,2:2 (0:1),
47,20/08/2022,14:00,Wisła Płock,-,Korona Kielce,2:1 (1:0),
48,,16:30,Śląsk Wrocław,-,KS Cracovia,1:1 (1:1),
49,,19:00,Warta Poznań,-,Widzew Łódź,0:1 (0:0),
50,21/08/2022,14:00,Zagłębie Lubin,-,Radomiak Radom,0:1 (0:0),
51,,16:30,Piast Gliwice,-,FKS Stal Mielec,4:0 (1:0),
52,31/08/2022,17:00,Raków Częstochowa,-,Pogoń Szczecin,1:0 (0:0),
53,,19:30,Lechia Gdańsk,-,Lech Poznań,0:3 (0:2),
54,26/08/2022,17:00,Górnik Zabrze,-,Jagiellonia Białystok,1:1 (0:1),
55,,19:30,FKS Stal Mielec,-,Legia Warszawa,0:1 (0:0),
56,27/08/2022,11:30,Radomiak Radom,-,Korona Kielce,0:2 (0:1),
57,,14:00,Miedź Legnica,-,Lechia Gdańsk,2:1 (1:0),
58,,16:30,Pogoń Szczecin,-,Zagłębie Lubin,3:0 (1:0),
59,,19:00,Widzew Łódź,-,Wisła Płock,2:1 (1:0),
60,28/08/2022,11:30,KS Cracovia,-,Warta Poznań,0:2 (0:0),
61,,14:00,Śląsk Wrocław,-,Raków Częstochowa,1:4 (0:1),
62,,16:30,Lech Poznań,-,Piast Gliwice,1:0 (1:0),
63,02/09/2022,19:30,Legia Warszawa,-,Radomiak Radom,1:0 (0:0),
64,03/09/2022,14:00,FKS Stal Mielec,-,Śląsk Wrocław,2:0 (1:0),
65,,16:30,Lechia Gdańsk,-,Warta Poznań,0:0 (0:0),
