,data,godzina,dom,-,wyjazd,wynik,pusta
0,16/04/2016,14:30,Korona Kielce,-,Śląsk Wrocław,1:1 (0:0),
1,17/04/2016,14:30,Podbeskidzie Bielsko-Biała,-,Bruk-Bet Termalica Nieciecza,0:1 (0:0),
2,,14:30,Jagiellonia Białystok,-,Górnik Łęczna,2:0 (2:0),
3,,17:00,Wisła Kraków,-,Górnik Zabrze,3:1 (2:1),
4,20/04/2016,17:00,Bruk-Bet Termalica Nieciecza,-,Korona Kielce,0:0 (0:0),
5,,17:00,Górnik Łęczna,-,Wisła Kraków,0:3 (0:0),
6,,19:30,Górnik Zabrze,-,Podbeskidzie Bielsko-Biała,1:0 (1:0),
7,,19:30,Śląsk Wrocław,-,Jagiellonia Białystok,3:1 (2:1),
8,23/04/2016,14:30,Korona Kielce,-,Górnik Łęczna,1:1 (1:0),
9,,17:00,Podbeskidzie Bielsko-Biała,-,Śląsk Wrocław,1:2 (0:1),
10,24/04/2016,14:30,Jagiellonia Białystok,-,Górnik Zabrze,0:0 (0:0),
11,25/04/2016,17:00,Wisła Kraków,-,Bruk-Bet Termalica Nieciecza,2:2 (0:0),
12,29/04/2016,17:00,Górnik Zabrze,-,Śląsk Wrocław,2:1 (1:0),
13,30/04/2016,17:00,Bruk-Bet Termalica Nieciecza,-,Górnik Łęczna,0:2 (0:1),
14,,19:30,Korona Kielce,-,Wisła Kraków,3:2 (2:0),
15,01/05/2016,14:30,Jagiellonia Białystok,-,Podbeskidzie Bielsko-Biała,3:2 (1:1),
16,06/05/2016,17:00,Podbeskidzie Bielsko-Biała,-,Korona Kielce,1:1 (0:1),
17,,19:30,Wisła Kraków,-,Jagiellonia Białystok,1:0 (1:0),
18,07/05/2016,14:30,Śląsk Wrocław,-,Bruk-Bet Termalica Nieciecza,2:1 (1:0),
19,,17:00,Górnik Łęczna,-,Górnik Zabrze,0:0 (0:0),
20,10/05/2016,19:30,Górnik Łęczna,-,Podbeskidzie Bielsko-Biała,5:1 (2:0),
21,,19:30,Wisła Kraków,-,Śląsk Wrocław,1:1 (0:0),
22,,19:30,Górnik Zabrze,-,Korona Kielce,0:0 (0:0),
23,,19:30,Jagiellonia Białystok,-,Bruk-Bet Termalica Nieciecza,0:1 (0:0),
24,14/05/2016,14:30,Podbeskidzie Bielsko-Biała,-,Wisła Kraków,3:4 (2:1),
25,,14:30,Śląsk Wrocław,-,Górnik Łęczna,3:2 (1:1),
26,,14:30,Korona Kielce,-,Jagiellonia Białystok,1:3 (0:1),
27,,14:30,Bruk-Bet Termalica Nieciecza,-,Górnik Zabrze,1:1 (0:1),
28,28/04/2017,17:00,Arka Gdynia,-,Piast Gliwice,1:1 (1:0),
29,29/04/2017,14:30,Wisła Płock,-,Ruch Chorzów,1:1 (0:0),
30,,17:00,Śląsk Wrocław,-,Górnik Łęczna,0:2 (0:1),
31,01/05/2017,17:00,Zagłębie Lubin,-,KS Cracovia,2:2 (0:2),
32,05/05/2017,17:00,Ruch Chorzów,-,Zagłębie Lubin,1:1 (0:0),
33,06/05/2017,14:30,Piast Gliwice,-,Śląsk Wrocław,2:0 (1:0),
34,,17:00,Górnik Łęczna,-,Wisła Płock,2:3 (1:2),
35,08/05/2017,17:00,KS Cracovia,-,Arka Gdynia,2:0 (1:0),
36,12/05/2017,17:00,Zagłębie Lubin,-,Piast Gliwice,3:1 (1:1),
37,,19:30,Arka Gdynia,-,Górnik Łęczna,1:0 (1:0),
38,13/05/2017,17:00,Śląsk Wrocław,-,Ruch Chorzów,6:0 (1:0),
39,,19:30,Wisła Płock,-,KS Cracovia,1:1 (1:1),
40,16/05/2017,17:00,Arka Gdynia,-,Wisła Płock,0:1 (0:1),
41,,17:00,Górnik Łęczna,-,KS Cracovia,3:0 (0:0),
42,,19:30,Zagłębie Lubin,-,Śląsk Wrocław,2:0 (1:0),
43,,19:30,Ruch Chorzów,-,Piast Gliwice,0:3 (0:0),
44,19/05/2017,17:00,Śląsk Wrocław,-,Arka Gdynia,4:1 (3:1),
45,,19:30,KS Cracovia,-,Ruch Chorzów,2:0 (2:0),
46,20/05/2017,14:30,Wisła Płock,-,Zagłębie Lubin,1:2 (0:1),
47,,17:00,Piast Gliwice,-,Górnik Łęczna,2:1 (2:1),
48,27/05/2017,17:00,Piast Gliwice,-,Wisła Płock,4:0 (0:0),
49,,17:00,Śląsk Wrocław,-,KS Cracovia,2:0 (2:0),
50,,17:00,Górnik Łęczna,-,Zagłębie Lubin,1:3 (1:1),
51,,17:00,Arka Gdynia,-,Ruch Chorzów,1:1 (1:1),
52,02/06/2017,19:30,Wisła Płock,-,Śląsk Wrocław,0:3 (0:1),
53,,19:30,Zagłębie Lubin,-,Arka Gdynia,1:3 (0:2),
54,,19:30,Ruch Chorzów,-,Górnik Łęczna,2:2 (0:2),
55,,19:30,KS Cracovia,-,Piast Gliwice,0:1 (0:0),
56,15/04/2016,17:00,Pogoń Szczecin,-,Ruch Chorzów,1:1 (0:1),
57,,19:30,Legia Warszawa,-,Lech Poznań,1:0 (0:0),
58,16/04/2016,17:00,Zagłębie Lubin,-,Lechia Gdańsk,1:2 (0:1),
59,,19:30,Piast Gliwice,-,KS Cracovia,1:1 (1:0),
60,19/04/2016,17:00,KS Cracovia,-,Zagłębie Lubin,1:0 (0:0),
61,,17:00,Lech Poznań,-,Piast Gliwice,2:2 (2:0),
62,,19:30,Ruch Chorzów,-,Legia Warszawa,0:0 (0:0),
63,,19:30,Lechia Gdańsk,-,Pogoń Szczecin,2:0 (1:0),
64,22/04/2016,17:00,Zagłębie Lubin,-,Ruch Chorzów,4:1 (1:1),
65,,19:30,Legia Warszawa,-,KS Cracovia,4:0 (3:0),
66,23/04/2016,19:30,Pogoń Szczecin,-,Lech Poznań,1:0 (0:0),
67,24/04/2016,17:00,Piast Gliwice,-,Lechia Gdańsk,3:0 (1:0),
68,28/04/2016,17:00,Zagłębie Lubin,-,Legia Warszawa,2:0 (2:0),
69,,17:00,Lech Poznań,-,Lechia Gdańsk,0:0 (0:0),
